2025-07-10 00:30:16 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:30:17 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:30:18 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:30:18 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:30:19 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:30:20 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:30:21 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:30:21 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:30:22 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:30:23 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:30:24 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:30:24 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
2025-07-10 00:30:25 [TRACE] <【目标检测】类型错误:tensor([3., 3.])>
