2025-10-23 01:47:35 [TRACE] 【线程启动】窗口保持
2025-10-23 01:48:23 [ERROR] 无法获取HWND
2025-10-23 01:48:23 [ERROR] 无法获取HWND
2025-10-23 01:48:23 [ERROR] 无法获取HWND
2025-10-23 01:48:23 [ERROR] 无法获取HWND
2025-10-23 01:48:23 [ERROR] 无法获取HWND
2025-10-23 01:48:23 [ERROR] 无法获取HWND
2025-10-23 01:48:23 [ERROR] 无法获取HWND
2025-10-23 01:48:23 [ERROR] 无法获取HWND
2025-10-23 01:48:23 [ERROR] 无法获取HWND
2025-10-23 01:48:23 [ERROR] 无法获取HWND
2025-10-23 01:48:23 [ERROR] 无法获取HWND
2025-10-23 01:48:23 [ERROR] 无法获取HWND
2025-10-23 01:48:23 [ERROR] 无法获取HWND
2025-10-23 01:48:23 [ERROR] 无法获取HWND
2025-10-23 01:48:23 [ERROR] 无法获取HWND
2025-10-23 01:48:23 [ERROR] 无法获取HWND
2025-10-23 01:48:23 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
2025-10-23 01:49:08 [ERROR] 无法获取HWND
